Link,Company,Title,Exp,Edu
https://www.jobkorea.co.kr/Recruit/GI_Read/40854328?Oem_Code=C1&logpath=1&stext=러시아&listno=,기아㈜,각 부문 신입/경력직 채용,신입·경력,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41086551?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜이랜서,(주)이랜서 공개 채용 - PYTHON 개발자,경력무관,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41042365?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜케이씨산업,2023년 상반기 각 부문 신입/경력직 채용,신입·경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40641234?Oem_Code=C1&logpath=1&stext=러시아&listno=,인사이너리,개발자(Python) 경력직 채용,경력,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41214175?Oem_Code=C1&logpath=1&stext=러시아&listno=,더이앤엠,2023년 각 부문 신입/경력 채용,신입·경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41125634?Oem_Code=C1&logpath=1&stext=러시아&listno=,한섬,현대백화점그룹 (주)한섬 수출입지원팀 사무행정 직원 채용 (경력무관),신입,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41185850?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜엘브리지아브노바,LB그룹 2023년 부문별 경력/신입 인재 초빙,신입·경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40794361?Oem_Code=C1&logpath=1&stext=러시아&listno=,이츠팀(ITsTEAM),임베디드 SW 개발자 채용 [C++/Python],신입,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41255626?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜파마리서치,파마리서치 연구개발 및 강릉공장 채용,신입·경력,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41172627?Oem_Code=C1&logpath=1&stext=러시아&listno=,로지스올그룹,"LogisALL 신입/경력사원 채용(IT시스템 개발, 디자인&퍼블리싱, 전산지원)",신입·경력,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41212418?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜현대홈쇼핑,미디어커머스 C.I.C 직무별 상시채용,경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/40680583?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜지아이티아카데미신촌,파이썬/자바/it 선생님 모십니다,경력1년↑,초대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41246182?Oem_Code=C1&logpath=1&stext=러시아&listno=,베스핀글로벌㈜,[베스핀글로벌 자회사] Bespin Global Tech Center 채용연계형 교육훈련생 3기 모집,경력무관,대졸↑
https://www.jobkorea.co.kr/Recruit/GI_Read/41240535?Oem_Code=C1&logpath=1&stext=러시아&listno=,에이에스엠엘코리아㈜,ASML CS 부서 경력 엔지니어 채용(한국/일본),경력2년↑,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41074931?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜한국자격검정평가진흥원,2023년 상반기 정규직 채용,신입·경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41191992?Oem_Code=C1&logpath=1&stext=러시아&listno=,SK이노베이션,2023년 상반기 SK이노베이션 계열 경력채용,경력,학력무관
https://www.jobkorea.co.kr/Recruit/GI_Read/41237742?Oem_Code=C1&logpath=1&stext=러시아&listno=,㈜엔씨소프트,엔씨소프트 부문별 수시 채용,신입·경력,학력무관
